Date,Load,Zone
1/2/2019 12:00:00 PM,1213.7,GENESE
1/2/2019 12:00:00 PM,1085.2,HUD VL
1/2/2019 12:00:00 PM,2187.1,LONGIL
1/2/2019 12:00:00 PM,997.2,MHK VL
1/2/2019 12:00:00 PM,324.7,MILLWD
1/2/2019 12:00:00 PM,6254.5,N.Y.C.
1/2/2019 12:00:00 PM,665.8,NORTH
1/2/2019 12:00:00 PM,1917.1,WEST
1/2/2019 1:00:00 PM,1361.5,CAPITL
1/2/2019 1:00:00 PM,2073,CENTRL
1/2/2019 1:00:00 PM,690.4,DUNWOD
1/2/2019 1:00:00 PM,1227.7,GENESE
1/2/2019 1:00:00 PM,1098.9,HUD VL
1/2/2019 1:00:00 PM,2247.7,LONGIL
1/2/2019 1:00:00 PM,1008.7,MHK VL
1/2/2019 1:00:00 PM,323.1,MILLWD
1/2/2019 1:00:00 PM,6272.6,N.Y.C.
1/2/2019 1:00:00 PM,661,NORTH
1/2/2019 1:00:00 PM,1932.4,WEST
1/2/2019 2:00:00 PM,1396.3,CAPITL
1/2/2019 2:00:00 PM,2085.3,CENTRL
1/2/2019 2:00:00 PM,700.4,DUNWOD
1/2/2019 2:00:00 PM,1239.5,GENESE
1/2/2019 2:00:00 PM,1120,HUD VL
1/2/2019 2:00:00 PM,2334.9,LONGIL
1/2/2019 2:00:00 PM,1009.1,MHK VL
1/2/2019 2:00:00 PM,325,MILLWD
1/2/2019 2:00:00 PM,6276.2,N.Y.C.
1/2/2019 2:00:00 PM,650.1,NORTH
1/2/2019 2:00:00 PM,1932.8,WEST
1/2/2019 3:00:00 PM,1434.1,CAPITL
1/2/2019 3:00:00 PM,2098.2,CENTRL
1/2/2019 3:00:00 PM,712.2,DUNWOD
1/2/2019 3:00:00 PM,1249.5,GENESE
1/2/2019 3:00:00 PM,1148.6,HUD VL
1/2/2019 3:00:00 PM,2427.7,LONGIL
1/2/2019 3:00:00 PM,1003,MHK VL
1/2/2019 3:00:00 PM,334,MILLWD
1/2/2019 3:00:00 PM,6346.3,N.Y.C.
1/2/2019 3:00:00 PM,660,NORTH
1/2/2019 3:00:00 PM,1915.9,WEST
1/2/2019 4:00:00 PM,1540.1,CAPITL
1/2/2019 4:00:00 PM,2160.2,CENTRL
1/2/2019 4:00:00 PM,750,DUNWOD
1/2/2019 4:00:00 PM,1309.1,GENESE
1/2/2019 4:00:00 PM,1227.7,HUD VL
1/2/2019 4:00:00 PM,2613.1,LONGIL
1/2/2019 4:00:00 PM,1055.5,MHK VL
1/2/2019 4:00:00 PM,354.9,MILLWD
1/2/2019 4:00:00 PM,6494.9,N.Y.C.
1/2/2019 4:00:00 PM,645.4,NORTH
1/2/2019 4:00:00 PM,1964.2,WEST
1/2/2019 5:00:00 PM,2046.8,WEST
1/2/2019 5:00:00 PM,1647,CAPITL
1/2/2019 5:00:00 PM,2249.5,CENTRL
1/2/2019 5:00:00 PM,797.5,DUNWOD
1/2/2019 5:00:00 PM,1371.2,GENESE
1/2/2019 5:00:00 PM,1324,HUD VL
1/2/2019 5:00:00 PM,2847.9,LONGIL
1/2/2019 5:00:00 PM,1103.2,MHK VL
1/2/2019 5:00:00 PM,389.8,MILLWD
1/2/2019 5:00:00 PM,6674.8,N.Y.C.
1/2/2019 5:00:00 PM,657.6,NORTH
1/2/2019 6:00:00 PM,1648.6,CAPITL
1/2/2019 6:00:00 PM,2234.7,CENTRL
1/2/2019 6:00:00 PM,804.2,DUNWOD
1/2/2019 6:00:00 PM,1356.4,GENESE
1/2/2019 6:00:00 PM,1329.6,HUD VL
1/2/2019 6:00:00 PM,2871.3,LONGIL
1/2/2019 6:00:00 PM,1114.6,MHK VL
1/2/2019 6:00:00 PM,398.7,MILLWD
1/2/2019 6:00:00 PM,6525.2,N.Y.C.
1/2/2019 6:00:00 PM,656.2,NORTH
1/2/2019 6:00:00 PM,2023.2,WEST
1/2/2019 7:00:00 PM,1615.4,CAPITL
1/2/2019 7:00:00 PM,2188.5,CENTRL
1/2/2019 7:00:00 PM,789.9,DUNWOD
1/2/2019 7:00:00 PM,1316.2,GENESE
1/2/2019 7:00:00 PM,1304.9,HUD VL
1/2/2019 7:00:00 PM,2799.6,LONGIL
1/2/2019 7:00:00 PM,1093.2,MHK VL
1/2/2019 7:00:00 PM,395.9,MILLWD
1/2/2019 7:00:00 PM,6373.4,N.Y.C.
1/2/2019 7:00:00 PM,664.5,NORTH
1/2/2019 7:00:00 PM,1976.5,WEST
1/2/2019 8:00:00 PM,1551.2,CAPITL
